"";"dgp";"t";"avr";"gs";"zint";"z2int";"rz1";"rz1m2";"rz1m5";"aq5";"aq20";"rz1m10"
"1";"ar1";25;0,53;0,236;0,45;0,488;0,26;0,304;0,278;0,228;0,228;0,28
"2";"ar1";50;0,75;0,584;0,684;0,718;0,484;0,552;0,516;0,596;0,596;0,396
"3";"ar1";100;0,962;0,906;0,936;0,966;0,756;0,88;0,874;0,928;0,924;0,69
"4";"ar1";200;0,998;1;1;1;0,89;0,968;0,998;1;1;0,982
"5";"ar12";25;0,078;0,028;0,062;0,072;0,06;0,074;0,092;0,044;0,046;0,074
"6";"ar12";50;0,064;0,064;0,062;0,082;0,068;0,084;0,122;0,088;0,094;0,104
"7";"ar12";100;0,056;0,062;0,064;0,08;0,068;0,092;0,144;0,06;0,146;0,156
"8";"ar12";200;0,058;0,05;0,07;0,094;0,094;0,096;0,196;0,046;0,492;0,27
"9";"ma2";25;0,448;0,166;0,368;0,388;0,198;0,25;0,234;0,172;0,172;0,206
"10";"ma2";50;0,672;0,416;0,552;0,612;0,354;0,442;0,428;0,426;0,418;0,318
"11";"ma2";100;0,908;0,738;0,84;0,878;0,558;0,718;0,726;0,744;0,738;0,55
"12";"ma2";200;0,99;0,964;0,988;0,99;0,742;0,918;0,964;0,97;0,97;0,914
"13";"ma12";25;0,068;0,05;0,064;0,074;0,076;0,088;0,092;0,068;0,068;0,088
"14";"ma12";50;0,098;0,068;0,094;0,104;0,084;0,114;0,164;0,096;0,102;0,126
"15";"ma12";100;0,064;0,08;0,082;0,11;0,078;0,112;0,188;0,088;0,29;0,232
"16";"ma12";200;0,084;0,096;0,116;0,15;0,124;0,15;0,276;0,08;0,948;0,38
"17";"bl";25;0,222;0,08;0,216;0,22;0,096;0,12;0,154;0,072;0,072;0,112
"18";"bl";50;0,24;0,164;0,32;0,344;0,136;0,228;0,24;0,058;0,058;0,262
"19";"bl";100;0,334;0,432;0,538;0,58;0,26;0,32;0,424;0,074;0,078;0,484
"20";"bl";200;0,56;0,794;0,782;0,842;0,41;0,516;0,678;0,088;0,088;0,774
