"";"t";"aq5";"aq20";"avr";"zint";"z2int";"rz1";"rz1m2";"rz1m5";"rz1m10"
"student";25;0,0815;0,0815;0,0125;0,046;0,0555;0,0375;0,038;0,036;0,0265
"garch";25;0,0775;0,0775;0,019;0,0575;0,048;0,054;0,0655;0,0535;0,0275
"sv";25;0,077;0,077;0,0275;0,0705;0,05;0,0705;0,07;0,045;0,025
"normal";25;0,102;0,102;0,013;0,0455;0,046;0,043;0,039;0,033;0,021
"student";50;0,0835;0,084;0,0085;0,0335;0,0415;0,035;0,038;0,047;0,0315
"garch";50;0,067;0,0675;0,042;0,096;0,0555;0,1;0,1035;0,1025;0,0725
"sv";50;0,067;0,0675;0,0415;0,1035;0,054;0,0925;0,1045;0,0975;0,0635
"normal";50;0,0865;0,0885;0,0085;0,0465;0,055;0,0395;0,039;0,0385;0,0385
"student";100;0,0795;0,0795;0,014;0,0495;0,0545;0,0485;0,0505;0,0435;0,0355
"garch";100;0,057;0,058;0,0495;0,123;0,0555;0,1075;0,1365;0,154;0,1355
"sv";100;0,0625;0,063;0,064;0,1585;0,05;0,1415;0,18;0,1995;0,174
"normal";100;0,0875;0,0895;0,0065;0,047;0,0575;0,0495;0,0495;0,047;0,053
"student";200;0,065;0,065;0,0135;0,0485;0,0585;0,048;0,048;0,047;0,0465
"garch";200;0,058;0,059;0,055;0,128;0,051;0,122;0,145;0,171;0,1655
"sv";200;0,0525;0,0525;0,109;0,194;0,053;0,1875;0,239;0,291;0,2935
"normal";200;0,0615;0,062;0,009;0,046;0,055;0,0455;0,051;0,0475;0,049
"student";500;0,063;0,0635;0,012;0,0505;0,0595;0,041;0,0475;0,047;0,046
"garch";500;0,052;0,053;0,034;0,101;0,0465;0,099;0,1215;0,144;0,144
"sv";500;0,05;0,05;0,148;0,2655;0,054;0,2425;0,323;0,407;0,447
"normal";500;0,0665;0,0675;0,0095;0,0465;0,051;0,0555;0,0505;0,0535;0,066
"student";1000;0,0635;0,0635;0,0085;0,0415;0,053;0,043;0,05;0,051;0,0445
"garch";1000;0,0655;0,0655;0,039;0,101;0,065;0,0935;0,1085;0,1195;0,1205
"sv";1000;0,049;0,049;0,1625;0,3105;0,0515;0,275;0,373;0,4865;0,5315
"normal";1000;0,072;0,0735;0,012;0,054;0,0575;0,0595;0,053;0,0605;0,0515
