dgp;t;aq;avr;zint;z2int;rz1;rz1m;rz2
garch;25;0,07;0,02;0,04;0,05;0,04;0,05;0,04
garch;50;0,08;0,04;0,04;0,05;0,04;0,06;0,04
garch;100;0,06;0,05;0,05;0,05;0,04;0,07;0,04
garch;200;0,06;0,05;0,05;0,05;0,04;0,06;0,05
garch;500;0,06;0,04;0,05;0,06;0,05;0,06;0,06
garch;1000;0,06;0,03;0,05;0,05;0,05;0,04;0,05
normal;25;0,09;0,01;0,04;0,05;0,04;0,05;0,04
normal;50;0,09;0,01;0,05;0,05;0,05;0,06;0,05
normal;100;0,08;0,01;0,04;0,05;0,05;0,06;0,05
normal;200;0,08;0,01;0,06;0,06;0,06;0,06;0,06
normal;500;0,07;0,01;0,06;0,06;0,06;0,06;0,05
normal;1000;0,06;0,01;0,04;0,04;0,04;0,05;0,05
student;25;0,09;0,01;0,05;0,06;0,04;0,06;0,05
student;50;0,09;0,01;0,04;0,05;0,05;0,07;0,04
student;100;0,08;0,01;0,06;0,07;0,05;0,06;0,05
student;200;0,07;0,01;0,06;0,06;0,06;0,05;0,05
student;500;0,06;0,01;0,05;0,06;0,05;0,05;0,05
student;1000;0,06;0,01;0,05;0,06;0,05;0,05;0,05
sv;25;0,07;0,02;0,05;0,06;0,04;0,06;0,05
sv;50;0,06;0,04;0,04;0,05;0,04;0,05;0,04
sv;100;0,07;0,08;0,04;0,04;0,04;0,06;0,04
sv;200;0,06;0,12;0,06;0,06;0,06;0,07;0,05
sv;500;0,06;0,15;0,05;0,05;0,04;0,07;0,04
sv;1000;0,06;0,17;0,05;0,05;0,06;0,06;0,05
