T;aq5;aq20;avr;zint;zsq;rz1;rz1m2;rz1m5;rz1m10
Standartinis normalusis;;;;;;;;;
25;0,09;0,09;0,02;0,04;0,05;0,04;0,05;0,05;0,06
50;0,08;0,08;0,01;0,04;0,05;0,04;0,05;0,06;0,07
100;0,08;0,08;0,01;0,05;0,05;0,04;0,05;0,06;0,07
200;0,08;0,08;0,01;0,05;0,06;0,05;0,06;0,06;0,07
500;0,07;0,07;0,01;0,05;0,06;0,06;0,04;0,05;0,06
1000;0,06;0,06;0,01;0,05;0,06;0,05;0,06;0,05;0,05
Studento su 5 laisvës laipsniais;;;;;;;;;
25;0,09;0,09;0,01;0,04;0,05;0,04;0,05;0,05;0,06
50;0,08;0,08;0,01;0,04;0,04;0,04;0,04;0,05;0,06
100;0,08;0,08;0,01;0,05;0,06;0,04;0,05;0,05;0,06
200;0,07;0,07;0,01;0,05;0,06;0,05;0,05;0,05;0,06
500;0,06;0,06;0,01;0,05;0,06;0,05;0,05;0,06;0,06
1000;0,06;0,06;0,01;0,05;0,06;0,05;0,05;0,05;0,05
GARCH;;;;;;;;;
25;0,08;0,08;0,03;0,05;0,05;0,04;0,05;0,05;0,05
50;0,07;0,07;0,04;0,04;0,05;0,05;0,05;0,06;0,07
100;0,06;0,06;0,05;0,05;0,06;0,04;0,05;0,06;0,06
200;0,06;0,06;0,05;0,04;0,05;0,04;0,05;0,05;0,05
500;0,06;0,06;0,04;0,05;0,06;0,05;0,05;0,06;0,06
1000;0,05;0,05;0,04;0,04;0,05;0,05;0,05;0,05;0,05
Atsitiktinis kintamumas;;;;;;;;;
25;0,07;0,07;0,03;0,05;0,06;0,05;0,05;0,05;0,05
50;0,07;0,07;0,03;0,04;0,05;0,04;0,04;0,06;0,06
100;0,06;0,06;0,07;0,04;0,05;0,04;0,04;0,05;0,05
200;0,05;0,05;0,10;0,05;0,05;0,04;0,05;0,06;0,06
500;0,05;0,05;0,14;0,04;0,05;0,05;0,05;0,05;0,07
1000;0,06;0,06;0,17;0,05;0,05;0,05;0,04;0,05;0,06
